date,resource,risk_score
2024-10-21,DRAM,0.9947660430735868
2024-10-28,DRAM,0.9996011715525188
2024-11-04,DRAM,0.9993451744798152
2024-11-11,DRAM,0.9997241047084536
2024-11-18,DRAM,0.999858058629218
2024-11-25,DRAM,0.9996703794322142
2024-12-02,DRAM,0.999493776112953
2024-12-09,DRAM,0.999723246072266
2024-12-16,DRAM,0.9995332711796622
2024-12-23,DRAM,0.998389069868618
2024-12-30,DRAM,0.9996425262579236
2025-01-06,DRAM,0.9997539584157904
2025-01-13,DRAM,0.999688127239432
2025-01-20,DRAM,0.9998913821046358
2025-01-27,DRAM,0.9992421461849866
2025-02-03,DRAM,0.9999122618454032
2025-02-10,DRAM,0.9998363534934744
2025-02-17,DRAM,0.9996747625751546
2025-02-24,DRAM,0.9993109966001597
2025-03-03,DRAM,0.9995472399808698
2025-03-10,DRAM,0.9994828705081186
2025-03-17,DRAM,0.9985875487053602
2025-03-24,DRAM,0.9991532996749188
2025-03-31,DRAM,0.999796337516786
2025-04-07,DRAM,0.9994831490725752
2025-04-14,DRAM,0.9989053125298872
2025-04-21,DRAM,0.9934613975298552
2025-04-28,DRAM,0.9982576032563004
2025-05-05,DRAM,0.9997346759004884
2025-05-12,DRAM,0.999701954896258
2025-05-19,DRAM,0.9999281850790084
2025-05-26,DRAM,0.9998708948987552
2025-06-02,DRAM,0.9999434341059138
2025-06-09,DRAM,0.9999074926983272
2025-06-16,DRAM,0.9999233367392776
2025-06-23,DRAM,0.9998510777248084
2025-06-30,DRAM,0.9996157268278332
2025-07-07,DRAM,0.0201302635916016
2025-07-14,DRAM,0.0373878067112571
2025-07-21,DRAM,0.0125733629109938
2025-07-28,DRAM,0.0357711789263291
2025-08-04,DRAM,0.0364990765426552
2025-08-11,DRAM,0.0184723396265917
2025-08-18,DRAM,0.0054490936199906
2025-08-25,DRAM,0.0073110019494729
2025-09-01,DRAM,0.0085433331027567
2025-09-08,DRAM,0.9996109908106486
2025-09-15,DRAM,0.99481539473278
2025-09-22,DRAM,0.9584535884076149
2025-09-29,DRAM,0.0195950043366778
2025-10-06,DRAM,0.0212189388940524
2025-10-13,DRAM,0.0673570194163421
2025-10-20,DRAM,0.0674035427078541
2025-10-27,DRAM,0.1223805912537935
2025-11-03,DRAM,0.1669591062044002
2025-11-10,DRAM,0.1669591062044002
2025-11-17,DRAM,0.0508370300018534
2025-11-24,DRAM,0.0056371181054829
2025-12-01,DRAM,0.0045773772148346
2025-12-08,DRAM,0.0109035171057549
2025-12-15,DRAM,0.0062793429572742
2025-12-22,DRAM,0.6727868471276168
2025-12-29,DRAM,0.2042390087518685
2026-01-05,DRAM,0.2042390087518685
2026-01-12,DRAM,0.2042390087518685
2026-01-19,DRAM,0.2042390087518685
2026-01-26,DRAM,0.1134966305410369
2026-02-02,DRAM,0.1521438522406532
2026-02-09,DRAM,0.1521438522406532
2026-02-16,DRAM,0.1001084386537781
2026-02-23,DRAM,0.4058000175019484
2026-03-02,DRAM,0.0212189388940524
2026-03-09,DRAM,0.0087795823372899
2026-03-16,DRAM,0.013723550022785
2026-03-23,DRAM,0.0076238602669549
2026-03-30,DRAM,0.0266911208776046
2026-04-06,DRAM,0.0891538953270621
2026-04-13,DRAM,0.0746968630126816
2026-04-20,DRAM,0.1669591062044002
2026-04-27,DRAM,0.0822820126689369
2026-05-04,DRAM,0.7122821327504255
2026-05-11,DRAM,0.0822820126689369
2026-05-18,DRAM,0.0163113912869538
2026-05-25,DRAM,0.119121986859686
2026-06-01,DRAM,0.0668911087141501
2026-06-08,DRAM,0.0682337252231968
2026-06-15,DRAM,0.0243997711707122
2026-06-22,DRAM,0.0653535162888073
2026-06-29,DRAM,0.0204488364974849
2023-01-02,GPU,0.9977528380287471
2023-01-09,GPU,0.9977528380287471
2023-01-16,GPU,0.99790162128787
2023-01-23,GPU,0.9945341425933428
2023-01-30,GPU,0.985396648832088
2023-02-06,GPU,0.985396648832088
2023-02-13,GPU,0.9974030459226092
2023-02-20,GPU,0.9951891436413932
2023-02-27,GPU,0.022335290009004
2023-03-06,GPU,0.9966222815499504
2023-03-13,GPU,0.9953764648209572
2023-03-20,GPU,0.9991033871133662
2023-03-27,GPU,0.9988050391037546
2023-04-03,GPU,0.9987828103904914
2023-04-10,GPU,0.9988276063089532
2023-04-17,GPU,0.9996615337505246
2023-04-24,GPU,0.995889269174832
2023-05-01,GPU,0.9979931888271714
2023-05-08,GPU,0.9987229929535948
2023-05-15,GPU,0.999923480365654
2023-05-22,GPU,0.9998909341310004
2023-05-29,GPU,0.9993822208048748
2023-06-05,GPU,0.9950031231489224
2023-06-12,GPU,0.9962246862193626
2023-06-19,GPU,0.999111581182173
2023-06-26,GPU,0.9997754194654566
2023-07-03,GPU,0.9997297700422038
2023-07-10,GPU,0.9997035033830026
2023-07-17,GPU,0.9995895222978092
2023-07-24,GPU,0.9988439246787808
2023-07-31,GPU,0.9996483827786382
2023-08-07,GPU,0.9996639481278652
2023-08-14,GPU,0.9997148531555456
2023-08-21,GPU,0.999464173472329
2023-08-28,GPU,0.9998679092916496
2023-09-04,GPU,0.9997994953316188
2023-09-11,GPU,0.9997670925151236
2023-09-18,GPU,0.999670827329047
2023-09-25,GPU,0.9998594571422468
2023-10-02,GPU,0.9997101627235592
2023-10-09,GPU,0.9997521748424772
2023-10-16,GPU,0.9997341952737656
2023-10-23,GPU,0.9991012999542036
2023-10-30,GPU,0.9993098904228972
2023-11-06,GPU,0.9993649290792248
2023-11-13,GPU,0.9906880348582476
2023-11-20,GPU,0.9974095822152366
2023-11-27,GPU,0.999665449764522
2023-12-04,GPU,0.9997101627235592
2023-12-11,GPU,0.9997365000540712
2023-12-18,GPU,0.99978738434965
2023-12-25,GPU,0.9974904208790693
2024-01-01,GPU,0.9988856305174044
2024-01-08,GPU,0.9988718030663528
2024-01-15,GPU,0.999389859002683
2024-01-22,GPU,0.999139245495451
